Channel,Avg. Viewers,Time Streamed,All-Time Peak Viewers,Hours Watched,Followers Gained,Total Followers,Total Views
Purpled,9660,13.4,37561,129041,45568,663073,1992025
Shlorox,4464,182.7,21757,815562,-6879,362335,48173233
RebirthzTV,4954,151.4,14578,750044,7649,311204,24830686
ricoy23,5127,140.2,57407,718898,1492,187790,11974447
Staiy,4475,184.7,15429,826485,-3165,269752,29830141
SNEUX,5359,121.5,50406,651319,10822,326347,10872364
Pimpeano,7215,56.6,103261,408010,27305,1214700,10242565
PurpleBixi,7802,43.7,24222,341106,7624,155833,9280841
Etoiles,3856,205.7,220035,793309,10750,444491,22755172
러너교,3930,203.1,17873,798081,7407,205115,14015651
gafallen,6593,64.5,47185,425517,23395,1224940,34592410
nyanners,7538,48.8,11521,368036,156053,558227,4763606
JustaMinx,5039,125.3,51954,631587,49547,1334299,13621166
餐餐自由配,4559,156.1,38259,711719,-2742,392836,104437552
おにや,7833,45.5,14078,356320,13453,54885,546923
Tectone,5005,139.9,26918,700229,25415,295134,4813724
QuarterJade,6005,88.7,37287,532511,7151,656880,15152091
chess24,3856,147.4,36269,568450,8496,118006,51449881
Shisheyu_Mayamoto,4098,204.8,14233,839275,8832,61163,4464226
buckefps,3448,228.0,17730,786229,83601,351285,5146447
Reborn_Live,5961,92.0,113707,548555,-3747,1600973,33388851
zackrawrr,8347,29.3,19128,244586,11551,365405,6707116
Scarra,4191,183.2,27421,767993,8622,1460143,104916766
SmallAnt,5294,121.6,11518,643621,38723,612840,8345479
Letshe,4733,119.1,65665,563413,58172,1590881,32769255
gicaas,7358,47.5,30138,349517,28254,145689,4570764
zxcursed,4188,168.0,7290,703448,62300,111682,2953190
aXoZer,4447,159.4,57887,708860,45186,649174,7695715
UberHaxorNova,4755,152.9,15989,726926,444,472754,23523976
OGADotaPIT,5335,83.4,99793,445049,5056,205641,45165925
loud_jordan,6745,66.7,15323,449829,155934,185127,383949
Hayashii,5029,132.7,67651,667208,24126,308593,8414663
TheStockGuy,5971,92.5,72935,552260,2519,255187,4996127
orangemorange,4380,166.8,15704,730552,4083,338062,19354490
sujagg,2879,284.6,33258,819542,65815,667813,14714968
PyrooTv,3363,261.5,17066,879258,24463,71600,4180870
TpaBoMaH,4564,138.2,11412,630581,9219,210087,16332576
JoeWo,3859,202.8,33722,782681,37256,286093,6437978
T90Official,5545,103.4,63954,573481,4256,212305,16161317
scoped,4917,123.7,48548,608290,25887,1226731,18757022
김진우,4973,126.7,33849,629862,-2360,304692,27491490
singsing,4054,190.4,24068,771853,-8380,587531,91867822
uhSnow,4790,135.5,36954,648957,5320,169326,10168408
los_jotinha,5280,117.8,15225,621974,87369,101861,432767
momo_sports,6653,57.3,21197,380844,4624,38877,3653347
ScreaM,8992,11.1,27007,100019,14612,1211759,27587428
